,Wavelength,Coefficient
1,4340.358398,-9.740071834
2,4340.573242,-0.293265059
3,4340.430176,-0.17099179
4,5110.435547,2.410389945
5,5110.751465,0.009213734
6,5397.144531,2.017306122
7,5896.348633,1.867626677
8,5896.333496,1.19802058
9,6562.891113,1.799106525
10,6562.871582,1.445114002
11,6563.35791,-0.070144335
12,6562.929688,0.056869452
13,6493.888672,-1.655946761
14,4375.966797,1.050383997
15,4375.943359,1.048851551
16,4375.955078,0.010729631
17,4533.931641,-0.934154324
18,4549.597168,-0.849783885
19,5698.568359,0.841607403
20,5698.55127,0.318547972
21,5950.674316,-0.777121751
22,6252.501953,-0.764453338
23,6141.689453,-0.744367566
24,6141.824219,-0.599618545
25,6449.908691,-0.616632195
26,4772.768066,-0.5735219
27,6470.080078,0.534414696
28,6470.310059,-0.171193826
29,6470.095215,0.053074611
30,6324.81543,-0.529890164
31,6324.831543,0.131121422
32,6325.120605,-0.117728365
33,5470.638184,0.494894775
34,5470.623535,0.463619871
35,6522.654297,0.475512987
36,6522.637695,0.167395307
37,6320.324707,0.471794399
38,6320.34082,0.424677399
39,6319.945313,-0.244109927
40,6330.077148,0.401918405
41,6102.661133,-0.388474009
42,6479.954102,0.370317124
43,4934.160156,-0.369312755
44,6663.529297,-0.347878007
45,6293.402344,0.320859955
46,5506.891113,-0.318821885
47,5506.906738,-0.008978438
48,5789.882813,0.299056706
49,5789.124512,-0.249568756
50,5790.44873,-0.125289115
51,4626.246094,-0.282611345
52,4626.137695,-0.279244543
53,4626.259766,-0.097095372
54,5108.9375,0.273417185
55,4547.078613,-0.25066579
56,4547.089844,-0.186956156
57,4787.876953,-0.243672509
58,6173.43457,-0.242743895
59,6173.292969,-0.013456033
60,5042.487305,0.24096607
61,5215.14502,-0.238588461
62,5876.842285,0.236095138
63,6279.600586,0.228845167
64,6279.463379,-0.158055921
65,6279.228027,-0.133637206
66,6280.128906,-0.110592784
67,6278.835449,0.059452579
68,6279.620117,0.042341776
69,5937.832031,0.187397395
70,5965.223633,-0.175036856
71,4461.660156,0.157737937
72,4923.884766,-0.156033759
73,4616.199707,-0.140921862
74,4427.327637,0.139851233
75,5476.665527,-0.138704535
76,4546.03125,-0.13771663
77,5875.662109,-0.128876626
78,6305.670898,0.12770452
79,4501.229004,-0.117870247
80,4501.376465,-0.086979817
81,6310.54248,-0.116859373
82,5806.452637,-0.105841972
83,4600.815918,-0.099939864
84,5582.046875,-0.094702446
85,5582.060547,-0.084329059
86,6592.883301,-0.091664522
87,5929.523438,0.087874666
88,5191.39502,-0.083749331
89,5501.561523,-0.070970532
90,5501.54541,-0.043158789
91,5497.479492,-0.069752161
92,5497.627441,-0.02648046
93,4872.228027,-0.058386626
94,5247.15332,-0.051237878
95,5247.517578,-0.011255918
96,5264.098145,-0.040456276
97,6065.560059,-0.03871485
98,6471.757813,-0.020291025
99,4553.995605,-0.00694974
