,Wavelength,Coefficient
1,4375.931641,0.832803092
2,4375.919922,0.163073419
3,4375.955078,0.07135501
4,4374.98291,-0.065789824
5,4375.908203,0.05077622
6,4374.971191,-0.040083316
7,5432.575684,0.831374627
8,5432.88623,-0.235935309
9,5432.589355,0.132760979
10,5895.799316,-0.82631067
11,5895.814453,-0.707712345
12,5895.82959,-0.054676317
13,6122.130859,-0.782920316
14,6122.147461,-0.57688763
15,6122.114258,-0.263504957
16,6122.297363,-0.228400276
17,5889.833496,-0.750966081
18,5889.801758,-0.01257266
19,5501.464844,0.670534112
20,5219.69873,0.664169929
21,5219.713867,0.004119029
22,6243.109375,0.659989093
23,6242.796875,0.204604985
24,6242.831543,0.018605656
25,6242.814453,0.002299094
26,6243.126465,0.000843682
27,5446.943359,0.657688374
28,5446.927246,0.320218839
29,5446.894531,0.111121177
30,5446.910645,0.047797091
31,6562.852051,0.57826225
32,6562.71582,0.55140712
33,6562.618164,0.53518258
34,6562.929688,0.209514293
35,6563.22168,-0.190079811
36,6562.657227,0.154388473
37,6562.793457,0.131544591
38,6562.754395,0.114559606
39,6562.949219,0.108249168
40,6562.988281,0.097180623
41,6562.579102,0.0674737
42,6562.734863,0.047394265
43,6562.83252,0.019904507
44,6562.812988,0.011414798
45,4571.082031,0.507163343
46,4571.094238,0.109990462
47,5171.579102,0.506301846
48,5171.007324,0.066015872
49,6265.074707,-0.4950414
50,6265.151855,0.403128968
51,6265.059082,-0.279578877
52,6265.136719,0.090334416
53,6265.089844,-0.024521229
54,6265.16748,0.012956326
55,5476.847656,-0.490783868
56,5476.833496,-0.285599884
57,5476.49707,-0.110789785
58,5476.244141,-0.066364227
59,5110.422363,0.485419506
60,5110.395508,0.3940626
61,5110.408691,0.362289824
62,5497.594238,-0.476797521
63,5497.528809,0.155680399
64,5497.61084,-0.144891348
65,5497.627441,-0.109195672
66,5497.643555,-0.023093772
67,4461.634766,0.473366463
68,4462.346191,0.102109588
69,4462.358887,0.039113615
70,4938.769043,-0.448747102
71,4938.755859,-0.352741118
72,4939.75293,-0.135853558
73,4861.178711,-0.446153375
74,4861.426758,-0.231600587
75,4861.27002,-0.222798498
76,4861.230957,-0.136524408
77,4861.11377,-0.107638327
78,4861.504883,-0.06237879
79,4861.100586,-0.054195718
80,4861.439941,-0.050351399
81,4861.491699,-0.041442302
82,4861.322266,-0.020888647
83,4861.074219,-0.010423897
84,4861.452637,-0.001941758
85,5068.706055,-0.443779612
86,5051.654785,0.442432317
87,5051.899902,0.365912852
88,4534.03125,-0.440847781
89,4534.849121,-0.209321989
90,4533.906738,-0.070521875
91,4534.018555,-0.051932855
92,4534.043457,-0.0271493
93,5460.506348,0.436442157
94,5460.490723,0.192806833
95,5460.521484,0.053488673
96,6064.635254,0.42808869
97,5506.780762,0.427306679
98,5506.702148,-0.311514106
99,4871.279785,-0.426073718
100,4872.046387,-0.071314602
101,6219.397949,-0.421480692
102,6219.359375,-0.308899328
103,6219.168457,-0.289651676
104,6219.378906,-0.080952889
105,6219.1875,-0.012238112
106,4591.443848,-0.420857472
107,5169.127441,-0.414042628
108,5168.971191,-0.400611216
109,5168.986816,-0.334684409
110,5168.908691,0.332411048
111,5168.893066,0.246811194
112,5168.830566,-0.216827387
113,5169.143066,-0.057140197
114,5169.096191,-0.049496628
115,5383.318359,-0.413946803
116,5383.304688,-0.204729471
117,6173.399414,-0.408879712
118,6173.452148,-0.075652928
119,6173.416992,-0.045436464
120,4715.310547,0.405970306
121,4715.717773,-0.044339829
122,4715.72998,-0.013968617
123,6322.631836,-0.400138962
124,6663.373047,-0.397517345
125,6663.390137,-0.00214492
126,4980.224609,-0.394749371
127,4427.327637,0.392415412
128,4427.340332,0.201482453
129,4427.289063,0.102709689
130,6677.880859,-0.387590647
131,6137.615723,-0.385743699
132,6137.646484,-0.154507311
133,6136.937988,-0.075550819
134,5166.268555,0.38402103
135,5166.28418,0.00516061
136,5247.504883,-0.378351248
137,5246.996582,-0.210480296
138,5246.539551,0.196199172
139,5246.970703,-0.16110148
140,5247.479004,-0.145633638
141,5247.491699,-0.089748637
142,5246.552246,0.082639079
143,5247.64502,-0.067556221
144,5246.983887,-0.04033612
145,5247.30957,0.01962593
146,5247.128906,-0.019173906
147,5247.911133,0.008058802
148,4594.100586,0.375635773
149,4594.074219,0.195248964
150,4594.15332,0.12138674
151,4594.140137,0.080320103
152,6136.504883,-0.373736653
153,6136.55127,-0.210553564
154,5107.46582,0.36763714
155,5107.586914,-0.290272171
156,5107.546387,-0.251213393
157,5107.573242,-0.026045548
158,6251.837891,0.366825678
159,6252.48584,-0.23661284
160,6252.469238,-0.127345286
161,6251.854492,0.065403527
162,5471.189453,0.353722594
163,5470.666992,0.332513403
164,5470.681641,0.254903153
165,4332.812012,-0.353706854
166,6141.65918,-0.348956639
167,6141.162598,0.053864222
168,6268.860352,0.344083163
169,6268.845215,0.033094951
170,6493.888672,-0.341259719
171,6499.736328,-0.340203782
172,6498.946777,0.049417942
173,5397.12793,0.338519018
174,5396.882813,0.008233973
175,4667.514648,-0.332085296
176,4667.501465,-0.185575412
177,4667.527832,-0.065296709
178,4733.667969,-0.331376411
179,5098.761719,-0.324913102
180,5098.634277,-0.2599562
181,5098.775879,-0.001462648
182,4428.513184,0.323320326
183,5205.97998,-0.321918307
184,5205.992676,-0.068991668
185,6161.380859,-0.317531251
186,6160.841309,-0.139268446
187,6161.17627,-0.05288125
188,6162.270996,-0.01307188
189,5781.75293,0.314473762
190,5781.188477,0.018188188
191,4832.349609,-0.307847377
192,4831.643066,0.262672444
193,4831.679688,0.021008795
194,5727.070313,0.306613905
195,6439.180664,-0.306601184
196,6439.162598,-0.15036794
197,6439.000977,-0.071786727
198,5490.833984,0.3062549
199,5490.665039,0.109299919
200,5490.123535,0.096691687
201,6240.125,0.305428941
202,6240.581055,-0.186528942
203,5265.636719,-0.301850148
204,5265.958008,0.274179584
205,5265.145508,0.176035383
