,Wavelength,Coefficient
1,6562.988281,3.213754515
2,6562.734863,2.784001435
3,6563.007813,2.57481311
4,6562.540039,2.52662216
5,6563.085449,2.525421553
6,6562.618164,2.514958684
7,6562.910156,2.41575924
8,6562.96875,2.394457099
9,6562.598633,2.37177805
10,6563.065918,2.314243438
11,6563.027344,2.272219029
12,6562.71582,2.263596005
13,6562.55957,2.24894201
14,6562.754395,2.166171009
15,6562.793457,2.129172608
16,6562.871582,2.050723415
17,6562.929688,2.045492299
18,6562.481445,2.030781705
19,6562.657227,2.025412381
20,6563.124512,1.95392675
21,6562.949219,1.918153268
22,6563.10498,1.897737897
23,6562.852051,1.859421438
24,6562.637695,1.858671216
25,6562.83252,1.837675714
26,6562.773926,1.820105221
27,6562.812988,1.791958368
28,6562.676758,1.676235317
29,6563.046387,1.675899491
30,6562.579102,1.654902042
31,6562.520508,1.65189309
32,6562.500977,1.549893078
33,6562.696289,1.339240307
34,6562.891113,1.233241058
35,6563.144043,0.948650048
36,5889.959473,-2.327613014
37,5889.864746,-1.647014944
38,5889.833496,-1.645796491
39,5889.849121,-1.526019472
40,5889.975586,-0.764682631
41,5890.006836,-0.611627394
42,5889.991211,-0.558837434
43,5889.801758,-0.364675885
44,5889.912109,-0.186467756
45,4316.749512,-1.369529749
46,4316.187012,1.058998144
47,4316.200684,1.03788686
48,4316.214355,0.831094963
49,4316.763184,-0.689078419
50,4316.228027,0.61638025
51,4316.722168,-0.503370826
52,4316.15918,-0.382815138
53,4316.118164,-0.344123276
54,4316.681152,-0.341931124
55,4316.694824,-0.320599116
56,4316.379395,0.307139958
57,4316.17334,0.272290519
58,4316.283203,0.245848999
59,4315.925781,-0.244786351
60,4316.42041,0.21161457
61,4316.776855,-0.201878327
62,4316.104492,-0.197432618
63,5896.013184,-1.259440523
64,5895.875488,-1.024154247
65,5896.059082,-0.873057049
66,5896.043457,-0.859297378
67,5896.02832,-0.85696287
68,5895.845215,-0.727201779
69,5895.814453,-0.702362399
70,5895.82959,-0.633826474
71,5896.074219,-0.551435458
72,5895.998047,-0.450959837
73,5895.799316,-0.406479223
74,5896.089355,-0.255157348
75,5895.860352,-0.241710862
76,6162.233887,-1.255836843
77,6162.104004,-1.227512945
78,6162.270996,-0.390973415
79,6162.289063,-0.350117281
80,6162.122559,-0.327267136
81,6162.252441,-0.305592489
82,6162.085449,-0.183199029
83,6162.04834,-0.151770027
84,6102.642578,-1.004012673
85,6102.697266,-0.910022027
86,5208.42627,-0.943675217
87,5208.410156,-0.268441701
88,6122.180664,-0.855425166
89,6122.147461,-0.606875406
90,6122.313965,-0.393914788
91,6122.280762,-0.31677006
92,6122.297363,-0.279041367
93,6122.247559,-0.153411057
94,5615.574707,-0.773620266
95,5615.713379,-0.473297538
96,5615.559082,-0.421653549
97,5615.358887,-0.167879043
98,5615.589844,-0.161139621
99,5615.697754,-0.147296342
100,5226.820801,-0.739750295
101,5227.24707,-0.624816343
102,5227.114746,-0.581720469
103,5227.129395,-0.135784234
104,5172.640625,-0.728267146
105,5172.778809,-0.266247281
106,5172.748047,-0.252633682
107,4938.809082,-0.689772648
108,4938.769043,-0.126802529
109,5233.001953,-0.680838478
110,5232.902344,-0.527918668
111,5232.944824,-0.330676373
112,5232.888184,-0.15932051
113,4890.737793,-0.656824846
114,4891.52832,-0.382507837
115,4891.541992,-0.370104889
116,4890.709961,-0.356010823
117,4891.583496,-0.19046074
118,5476.931641,-0.631189098
119,5476.637207,-0.154665704
120,5429.640137,-0.597413305
121,5429.791504,-0.343742979
122,5429.598633,-0.155672023
123,6393.688477,-0.570133067
124,6393.736328,-0.224364903
125,4404.760742,-0.563649753
126,4404.772949,-0.234336641
127,5828.047852,-0.561453177
128,5828.080078,-0.179435911
129,5572.804199,-0.542977957
130,5572.949707,-0.31396654
131,4415.123535,-0.537309716
132,4903.263672,-0.528652327
133,5183.541504,-0.505161912
134,5183.657715,-0.236468378
135,5183.526855,-0.173160982
136,6256.408203,-0.487416576
137,4872.131348,-0.47049638
138,5415.157715,-0.465643151
139,4383.55957,-0.461500422
140,4383.515137,-0.130691784
141,5987.109375,-0.452242218
142,5769.157715,-0.452098799
143,6439.162598,-0.427954111
144,6439.144531,-0.361878243
145,6439.037109,-0.183661168
146,6301.62793,-0.39514161
147,6301.609863,-0.38562041
148,6301.57373,-0.272780163
149,6301.538086,-0.127579133
150,5261.65918,-0.392628159
151,6335.413086,-0.388988871
152,5602.996094,-0.387217304
153,5603.028809,-0.347699988
154,5506.84375,-0.38573857
155,5506.859375,-0.356428281
156,5506.718262,-0.279253802
157,4646.148438,-0.38201163
158,5497.578125,-0.380590083
159,5367.464355,-0.373236411
160,5367.43457,-0.360718568
161,5367.419434,-0.160451478
162,4783.48291,-0.366408379
163,5709.315918,-0.359409345
164,5709.432129,-0.349754486
165,5709.33252,-0.207686914
166,6382.950684,-0.355005187
167,4321.32666,-0.350674417
168,6108.196777,-0.350620777
169,6654.605957,-0.346190443
170,6060.925781,-0.337496251
171,5455.54834,-0.332923666
172,5455.705566,-0.140797369
173,4434.925781,-0.332031949
174,4435.206055,-0.24673258
175,6558.710938,0.325613821
176,5586.712891,-0.315250484
177,5586.726563,-0.219885657
178,4934.078125,-0.302064931
179,4934.050781,-0.26699795
180,4823.479492,-0.298378205
181,4823.440918,-0.131912145
182,6230.675781,-0.296413763
183,6657.913086,-0.289939502
184,6799.314453,-0.288469829
185,6059.663086,-0.279716278
186,6504.567383,-0.27949457
187,5528.308105,-0.270448547
188,5371.43457,-0.268859775
189,4536.019531,-0.268750543
190,4531.10791,-0.264561417
191,6788.183105,-0.263334092
192,6191.521973,-0.263020465
193,4859.789063,-0.261910169
194,4859.749512,-0.174226317
195,5266.508301,-0.2493837
196,5266.493164,-0.148110294
197,5513.061523,-0.235090294
198,6714.527832,-0.226876662
199,5264.128906,-0.224844611
200,5264.11377,-0.179078557
201,5264.08252,-0.154354456
202,4667.488281,-0.224481334
203,5204.481445,-0.219445845
204,6507.055664,-0.21895021
205,5662.581543,-0.216542498
206,5762.907227,-0.208371705
207,6310.835938,-0.202853114
208,6137.800293,-0.202001023
209,5424.017578,-0.201201368
210,5576.124023,-0.200367836
211,5041.669922,-0.192235803
212,5041.715332,-0.186069798
213,5049.873047,-0.190064381
214,5447.008789,-0.189705388
215,5447.025391,-0.166273345
216,5205.992676,-0.189398596
217,6804.160156,-0.189151085
218,6804.838379,-0.184623988
219,5546.559082,-0.180318648
220,6511.364746,-0.180047163
221,6717.622559,-0.177942085
222,6717.641602,-0.122056933
223,5569.745605,-0.175877976
224,5682.696777,-0.171857435
225,6252.618164,-0.166959716
226,6795.589844,-0.165827788
227,6437.594238,0.164884636
228,5210.33252,-0.164466948
229,5588.724609,-0.162440782
230,5410.993164,-0.161582314
231,5107.721191,-0.160931574
232,5192.39209,-0.159609689
233,5369.88623,-0.151992984
234,5383.413086,-0.148031609
235,5501.54541,-0.14638311
236,4991.038574,-0.136540198
237,6169.495117,-0.130002384
238,5409.749512,-0.124749002
