,Wavelength,Coefficient
1,4340.358398,-9.311589485
2,4340.573242,-0.978407081
3,4340.382324,-0.919760148
4,4340.454102,-0.420344244
5,4340.549316,-0.298583463
6,4340.441895,-0.28421623
7,4340.370117,-0.273591025
8,4340.525391,-0.256306881
9,4340.621094,-0.227281241
10,4340.632813,-0.153934024
11,4340.585449,-0.072509712
12,4340.609375,-0.056070565
13,5895.982422,4.650825431
14,5895.891113,3.297130966
15,5895.90625,1.219881959
16,5895.952148,0.915296543
17,5895.875488,0.154747853
18,5890.369141,2.280705046
19,5889.991211,1.87488186
20,5889.912109,1.775994924
21,5889.928223,1.173672168
22,5890.353516,0.032922569
23,6297.915527,-2.086087522
24,5887.467285,2.004056749
25,5887.435059,-1.54456621
26,4375.931641,1.956650042
27,4375.955078,0.950764065
28,5506.859375,-1.6440266
29,6562.793457,1.522888123
30,6562.773926,1.37078831
31,6562.83252,0.831530975
32,6562.852051,0.249230248
33,6562.734863,0.131668175
34,5698.533691,1.501709381
35,5204.456055,-1.430638078
36,5204.46875,-0.70689009
37,4934.146484,-1.248637014
38,4934.160156,-0.58701624
39,6524.138672,1.242170156
40,4861.543945,-1.118641498
41,4861.504883,-0.708604449
42,4861.283203,-0.477644384
43,4861.530762,-0.04360263
44,5497.594238,-1.016304248
45,5497.643555,-0.453882142
46,5497.463379,-0.089635348
47,4831.655273,0.938844174
48,4626.232422,-0.910531256
49,5348.256836,-0.909175814
50,6168.991211,-0.850406017
51,5891.890137,0.847453604
52,4646.112793,-0.807486128
53,4938.769043,-0.8033539
54,4939.766113,-0.372545344
55,5615.574707,-0.755114392
56,4616.176758,-0.714808723
57,4616.188477,-0.222303604
58,4501.216797,-0.709830611
59,4501.339844,-0.364199673
60,5937.665527,-0.673445545
61,5079.705078,-0.669988412
62,5079.673828,-0.137427299
63,5898.213379,0.643240137
64,5898.228516,0.224438942
65,6064.195801,-0.633751299
66,6162.104004,-0.612101506
67,5977.292969,0.580308545
68,5977.274902,0.204573225
69,5283.570801,-0.568173112
70,5041.715332,-0.518368588
71,6495.057617,-0.514004022
72,6495.07666,-0.105567186
73,6151.57666,-0.512925884
74,6021.893066,-0.504350554
75,6504.879883,-0.476644476
76,4563.711426,-0.463937193
77,4783.48291,-0.438040413
78,4783.534668,-0.110436414
79,4981.816895,-0.383965076
80,4923.986328,-0.367253138
81,4924.000488,-0.211167959
82,6335.261719,-0.362542745
83,5226.791016,-0.350973296
84,5264.08252,-0.327867074
85,5264.098145,-0.307522307
86,5191.39502,-0.314192048
87,5603.012695,-0.304447137
88,5225.476074,-0.292460815
89,5225.461426,-0.016573968
90,5168.986816,-0.271947698
91,6122.147461,-0.271379677
92,4427.314941,0.264606051
93,4427.340332,0.034519885
94,4417.760742,-0.247652177
95,6493.907715,-0.246994397
96,6440.059082,-0.246104937
97,6783.390137,-0.207519543
98,6170.087402,-0.205146391
99,6243.091797,0.20322276
100,4704.919922,-0.189879359
101,5172.594727,-0.148291115
102,6279.48291,0.123034905
103,6279.149902,0.059117055
104,6279.502441,-0.053547611
105,6462.493164,-0.115155607
106,6246.258301,-0.114163686
107,6470.1875,-0.106410224
108,4991.025879,-0.105785152
109,6552.874023,0.102774472
110,5110.422363,0.074816486
111,5790.434082,-0.071297295
112,5281.865723,-0.028296358
113,4989.000488,-0.015601422
