,Wavlength,Coefficient
1,4427.327637,1.268057541
2,4427.302246,0.554820943
3,4427.340332,0.234976463
4,4427.314941,0.082687275
5,4427.353027,0.018138352
6,5110.408691,1.110597828
7,5110.422363,0.889471155
8,5110.395508,0.637545677
9,5110.435547,0.201744116
10,4461.660156,0.917109615
11,4461.672852,0.657445401
12,4461.647461,0.413745984
13,4461.583496,-0.069311067
14,5429.695313,0.891180234
15,5429.722656,0.378391471
16,6562.793457,0.803227851
17,6562.637695,0.745156176
18,6562.734863,0.700216215
19,6562.929688,0.672014239
20,6562.910156,0.671462571
21,6562.871582,0.657469914
22,6562.71582,0.588439259
23,6562.812988,0.368493165
24,6562.96875,0.358345867
25,6562.949219,0.356085434
26,6562.325684,-0.353418493
27,6562.676758,0.350452394
28,6562.26709,-0.320290587
29,6562.754395,0.296289186
30,6562.773926,0.272402233
31,6562.891113,0.230471459
32,6562.852051,0.204335082
33,6562.306152,-0.190682114
34,6562.364746,-0.187962527
35,6562.696289,0.177935461
36,6562.988281,0.115481928
37,6563.338379,-0.086077203
38,6563.455078,-0.064224545
39,6562.208496,-0.055840897
40,6562.657227,0.049938433
41,6562.345215,-0.034409902
42,6563.377441,-0.023638568
43,6563.241211,-0.011126547
44,6562.286621,-0.009940638
45,4375.943359,0.770491433
46,4375.931641,0.538236387
47,4375.955078,0.370057277
48,4375.919922,0.288945541
49,4375.966797,0.243249644
50,4374.959473,-0.058304874
51,4340.310547,-0.690641968
52,4340.370117,-0.193988706
53,4340.64502,-0.171262094
54,4340.346191,-0.123482315
55,4340.549316,-0.091959591
56,4340.322266,-0.079410895
57,4340.597168,-0.078690244
58,4340.489746,-0.07737317
59,4340.358398,-0.057309185
60,4340.573242,-0.055103067
61,4340.537598,-0.038758295
62,4340.417969,-0.034726352
63,4340.334473,-0.027067538
64,4340.40625,-0.019652567
65,4340.501465,-0.016017554
66,4340.430176,-0.015389966
67,4340.609375,-0.007225704
68,4340.621094,-0.001361934
69,4340.561523,-0.000466362
70,5895.814453,-0.635707199
71,5896.043457,-0.387037702
72,5895.799316,-0.362661499
73,5896.074219,-0.254133033
74,5895.82959,-0.244520795
75,5895.845215,-0.129066478
76,5397.12793,0.599799472
77,5397.160645,0.200381338
78,6439.000977,-0.575181213
79,6439.144531,-0.201643348
80,5204.456055,-0.54683737
81,5204.583496,0.064552504
82,5204.532715,0.014451732
83,4957.568848,-0.514852507
84,4957.251953,-0.125003975
85,4957.342773,-0.067920476
86,6122.147461,-0.511626702
87,6122.313965,-0.286299831
88,6122.280762,-0.223232206
89,5012.080078,0.509850947
90,5012.094238,0.202432498
91,5012.065918,0.149457109
92,5012.108398,0.13578588
93,6496.943359,-0.49199423
94,5432.562012,0.476723146
95,5432.535156,0.278185584
96,5432.589355,0.054045918
97,5432.548828,0.019702819
