,Wavelength,Coefficient
1,4375.931641,0.832803092
2,5432.575684,0.831374627
3,5895.799316,-0.82631067
4,6122.130859,-0.782920316
5,5889.833496,-0.750966081
6,5501.464844,0.670534112
7,5219.69873,0.664169929
8,6243.109375,0.659989093
9,5446.943359,0.657688374
10,6562.852051,0.57826225
11,4571.082031,0.507163343
12,5171.579102,0.506301846
13,6265.074707,-0.4950414
14,5476.847656,-0.490783868
15,5110.422363,0.485419506
16,5497.594238,-0.476797521
17,4461.634766,0.473366463
18,4938.769043,-0.448747102
19,4861.178711,-0.446153375
20,5068.706055,-0.443779612
21,5051.654785,0.442432317
22,4534.03125,-0.440847781
23,5460.506348,0.436442157
24,6064.635254,0.42808869
25,5506.780762,0.427306679
26,4871.279785,-0.426073718
27,6219.397949,-0.421480692
28,4591.443848,-0.420857472
29,5169.127441,-0.414042628
30,5383.318359,-0.413946803
31,6173.399414,-0.408879712
32,4715.310547,0.405970306
33,6322.631836,-0.400138962
34,6663.373047,-0.397517345
35,4980.224609,-0.394749371
36,4427.327637,0.392415412
37,6677.880859,-0.387590647
38,6137.615723,-0.385743699
39,5166.268555,0.38402103
40,5247.504883,-0.378351248
