,Wavelength,Coefficient
1,6562.988281,3.213754515
2,5889.959473,-2.327613014
3,4316.749512,-1.369529749
4,5896.013184,-1.259440523
5,6162.233887,-1.255836843
6,6102.642578,-1.004012673
7,5208.42627,-0.943675217
8,6122.180664,-0.855425166
9,5615.574707,-0.773620266
10,5226.820801,-0.739750295
11,5172.640625,-0.728267146
12,4938.809082,-0.689772648
13,5233.001953,-0.680838478
14,4890.737793,-0.656824846
15,5476.931641,-0.631189098
16,5429.640137,-0.597413305
17,6393.688477,-0.570133067
18,4404.760742,-0.563649753
19,5828.047852,-0.561453177
20,5572.804199,-0.542977957
21,4415.123535,-0.537309716
22,4903.263672,-0.528652327
23,5183.541504,-0.505161912
24,6256.408203,-0.487416576
25,4872.131348,-0.47049638
26,5415.157715,-0.465643151
27,4383.55957,-0.461500422
28,5987.109375,-0.452242218
29,5769.157715,-0.452098799
30,6439.162598,-0.427954111
31,6301.62793,-0.39514161
32,5261.65918,-0.392628159
33,6335.413086,-0.388988871
34,5602.996094,-0.387217304
35,5506.84375,-0.38573857
36,4646.148438,-0.38201163
37,5497.578125,-0.380590083
38,5367.464355,-0.373236411
39,4783.48291,-0.366408379
40,5709.315918,-0.359409345
