,Wavelength,Coefficient
1,4340.358398,-9.311589485
2,5895.982422,4.650825431
3,5890.369141,2.280705046
4,6297.915527,-2.086087522
5,5887.467285,2.004056749
6,4375.931641,1.956650042
7,5506.859375,-1.6440266
8,6562.793457,1.522888123
9,5698.533691,1.501709381
10,5204.456055,-1.430638078
11,4934.146484,-1.248637014
12,6524.138672,1.242170156
13,4861.543945,-1.118641498
14,5497.594238,-1.016304248
15,4831.655273,0.938844174
16,4626.232422,-0.910531256
17,5348.256836,-0.909175814
18,6168.991211,-0.850406017
19,5891.890137,0.847453604
20,4646.112793,-0.807486128
21,4938.769043,-0.8033539
22,5615.574707,-0.755114392
23,4616.176758,-0.714808723
24,4501.216797,-0.709830611
25,5937.665527,-0.673445545
26,5079.705078,-0.669988412
27,5898.213379,0.643240137
28,6064.195801,-0.633751299
29,6162.104004,-0.612101506
30,5977.292969,0.580308545
31,5283.570801,-0.568173112
32,5041.715332,-0.518368588
33,6495.057617,-0.514004022
34,6151.57666,-0.512925884
35,6021.893066,-0.504350554
36,6504.879883,-0.476644476
37,4563.711426,-0.463937193
38,4783.48291,-0.438040413
39,4981.816895,-0.383965076
40,4923.986328,-0.367253138
