,Wavelength,Coefficient
1,4427.327637,1.268057541
2,5110.408691,1.110597828
3,4461.660156,0.917109615
4,5429.695313,0.891180234
5,6562.793457,0.803227851
6,4375.943359,0.770491433
7,4340.310547,-0.690641968
8,5895.814453,-0.635707199
9,5397.12793,0.599799472
10,6439.000977,-0.575181213
11,5204.456055,-0.54683737
12,4957.568848,-0.514852507
13,6122.147461,-0.511626702
14,5012.080078,0.509850947
15,6496.943359,-0.49199423
16,5432.562012,0.476723146
17,5098.761719,-0.431377493
18,6162.122559,-0.413282302
19,6318.122559,-0.388475376
20,5434.524414,0.385317561
21,4626.232422,-0.381930051
22,5226.820801,-0.381057964
23,5225.476074,-0.369823563
24,5497.594238,-0.368960005
25,5191.422852,-0.364721124
26,5269.537598,0.313954136
27,5506.796875,0.306220044
28,4534.006348,-0.304204759
29,6462.493164,-0.300318603
30,5409.857422,-0.295098299
31,5365.356445,-0.294506101
32,5446.943359,0.289397294
33,6219.225586,-0.287851155
34,5405.79834,0.280220561
35,5262.298828,-0.280048511
36,5051.712891,-0.279886925
37,5281.739258,-0.279048179
38,4861.543945,-0.273638875
39,4981.816895,-0.273218912
40,6495.07666,-0.25874381
